Date Registered,Date Watched,Onboarded,Paid,Student Country,Student Id,Minutes Watched
7/26/2022,8/10/2022,Yes,1,NE,282705,75.6
7/26/2022,8/2/2022,Yes,1,NE,282705,87
7/26/2022,8/8/2022,Yes,1,NE,282705,195.6
7/26/2022,8/11/2022,Yes,1,NE,282705,28.1
7/26/2022,8/12/2022,Yes,1,NE,282705,34.4
7/26/2022,7/30/2022,Yes,0,GB,282706,108.8
7/26/2022,9/6/2022,Yes,0,GB,282706,91.5
7/26/2022,9/9/2022,Yes,0,GB,282706,52.8
7/26/2022,9/5/2022,Yes,0,GB,282706,141.9
7/26/2022,9/7/2022,Yes,0,GB,282706,75.8
7/26/2022,9/12/2022,Yes,0,GB,282706,35.2
7/26/2022,9/14/2022,Yes,0,GB,282706,37.3
7/26/2022,9/15/2022,Yes,0,GB,282706,68.2
7/26/2022,8/4/2022,Yes,0,GB,282706,7.3
7/26/2022,8/6/2022,Yes,0,GB,282706,30.3
7/26/2022,8/15/2022,Yes,0,GB,282706,107.6
7/26/2022,8/18/2022,Yes,0,GB,282706,39.4
7/26/2022,8/20/2022,Yes,0,GB,282706,14.6
7/26/2022,8/21/2022,Yes,0,GB,282706,0.1
7/26/2022,7/31/2022,Yes,0,GB,282706,78.6
7/26/2022,8/1/2022,Yes,0,GB,282706,53.8
7/26/2022,8/2/2022,Yes,0,GB,282706,101.5
7/26/2022,8/3/2022,Yes,0,GB,282706,15.1
7/26/2022,10/5/2022,Yes,0,PK,282707,0.1
7/26/2022,7/26/2022,Yes,0,PK,282707,0.8
7/26/2022,7/27/2022,Yes,0,PK,282707,9.5
7/26/2022,8/9/2022,Yes,0,PK,282707,1.3
7/26/2022,7/29/2022,Yes,0,PK,282707,4.1
7/26/2022,9/2/2022,Yes,0,PK,282707,0.3
7/26/2022,7/27/2022,Yes,1,GB,282712,6.9
7/26/2022,9/21/2022,Yes,1,RU,282713,41
7/26/2022,9/22/2022,Yes,1,RU,282713,78.4
7/26/2022,7/26/2022,Yes,0,PK,282714,0.7
7/26/2022,7/26/2022,Yes,0,EG,282717,0.1
7/26/2022,8/15/2022,Yes,0,US,282719,185.1
7/26/2022,8/17/2022,Yes,0,US,282719,286.7
7/26/2022,7/26/2022,Yes,0,US,282719,11
7/26/2022,8/16/2022,Yes,0,US,282719,257.5
7/26/2022,8/4/2022,Yes,1,US,282720,42.9
7/26/2022,7/26/2022,Yes,1,US,282720,42.4
7/26/2022,7/26/2022,Yes,0,BG,282721,2
7/26/2022,7/27/2022,Yes,0,GR,282723,11
7/26/2022,7/26/2022,Yes,0,GR,282723,30.2
7/26/2022,7/26/2022,Yes,1,US,282724,67.1
7/26/2022,7/27/2022,Yes,1,US,282724,44.4
7/26/2022,7/26/2022,Yes,0,CO,282725,1.3
7/26/2022,10/8/2022,Yes,1,CA,282726,82
7/26/2022,10/9/2022,Yes,1,CA,282726,27.4
7/26/2022,7/27/2022,Yes,1,CA,282726,93.9
7/26/2022,7/28/2022,Yes,1,CA,282726,19.8
7/26/2022,8/8/2022,Yes,1,CA,282726,98.6
7/26/2022,7/26/2022,Yes,1,CA,282726,45.2
7/26/2022,7/29/2022,Yes,1,CA,282726,32.9
7/26/2022,8/10/2022,Yes,1,CA,282726,36.1
7/26/2022,8/7/2022,Yes,1,CA,282726,170.7
7/26/2022,8/17/2022,Yes,1,CA,282726,67.8
7/26/2022,10/18/2022,Yes,1,CA,282726,35.7
7/26/2022,8/18/2022,Yes,1,CA,282726,41.2
7/26/2022,8/19/2022,Yes,1,CA,282726,176.3
7/26/2022,8/20/2022,Yes,1,CA,282726,9.3
7/26/2022,8/24/2022,Yes,1,CA,282726,75.5
7/26/2022,8/25/2022,Yes,1,CA,282726,47.1
7/26/2022,8/27/2022,Yes,1,CA,282726,70.6
